,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Year,,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Burkina Faso,"Tobacco, unmanufactured",3300.0,3300.0,3083.5,3300.0,3401.0,3497.0,3539.0,3581.5,3795.5,4000.0,4000.0,4000.0,3500.0,2762.5,2547.5,2452.5,2630.0,3005.0,3326.0,3552.0,3498.5,3471.0,3200.0,3000.0,2890.5,2850.0,2877.0,2942.5,3000.0,3074.0,3104.0,3126.0,3141.5,3050.0,3000.0,3025.0,3280.0,3542.0,3761.0,3980.0,4415.0,4572.5
Burundi,"Tobacco, unmanufactured",4083.5,5526.5,5556.0,5556.0,5556.0,5556.0,6250.0,6500.0,6801.5,6801.5,6801.5,6847.0,6500.0,6893.0,7035.5,7000.0,7000.0,7000.0,6845.0,6602.0,6685.5,6473.5,4400.0,4608.0,4608.0,3979.0,3483.5,5183.5,5757.0,6686.0,3801.0,4005.5,4488.0,4628.5,3316.5,3416.5,4176.5,4578.0,4625.0,4334.0,4381.0,4378.5
Burundi,Wheat,6955.5,7157.5,6537.5,7233.0,7484.5,7750.0,5242.0,6833.5,7535.0,8703.5,8000.0,8000.0,8944.5,10708.0,9109.0,9240.5,9314.0,9163.5,9489.0,9666.5,9810.0,9480.0,8912.0,9720.0,9715.0,10151.0,10074.0,8542.5,7887.0,9333.5,9145.0,9072.5,8663.0,8943.5,9003.5,8953.5,9015.5,9291.5,9831.5,10504.0,6941.0,8052.0
Cabo Verde,Watermelons,,,,,,,,,,,,,,,,75005.0,100005.0,100005.5,71823.5,75003.5,65799.0,75005.5,75005.0,75004.0,75002.5,77674.5,78848.5,79982.5,81371.0,81449.5,79727.5,82358.0,84415.0,82227.5,82395.5,140100.5,89896.0,111995.0,99539.5,87462.5,86980.5,97244.5
Cambodia,"Tobacco, unmanufactured",10206.0,7150.0,9041.5,9041.5,9041.5,9041.5,8107.0,6625.0,6897.0,7022.5,7045.5,7278.0,8083.5,8128.0,8402.0,8861.5,8271.5,8315.0,10300.0,11228.5,11293.0,9882.0,11285.5,10830.0,9984.0,10983.0,10566.5,7980.0,8798.0,6999.5,7015.5,9135.5,8111.0,12736.5,12499.5,13013.0,13935.0,11909.5,12298.5,12363.5,12691.0,12900.5
Cameroon,"Tobacco, unmanufactured",5963.0,5758.0,5563.0,5626.0,5719.5,5431.0,5845.0,4447.5,4380.0,6565.5,4637.5,4935.0,4743.5,6627.0,8880.0,6775.0,6000.0,3703.0,3795.5,4244.5,6000.0,5750.5,6250.0,6500.0,6000.0,5850.0,6000.0,8612.0,8612.0,8085.0,8231.0,8302.0,8266.0,8477.0,8753.0,8829.5,8883.5,9024.0,9163.5,9302.0,9440.0,9576.5
Cameroon,Watermelons,,,,,,,,,,,,,,,,,,,75922.5,81610.5,90250.0,100275.0,105148.5,110634.0,121778.5,125380.0,131122.0,136192.5,136300.0,134078.0,91569.0,85952.5,80709.0,72818.5,76763.5,105639.0,132550.5,127319.0,111932.5,112100.0,107922.5,113321.5
Cameroon,Wheat,,,,,2841.5,2823.0,3500.0,5226.5,4922.5,4922.5,7659.0,9001.5,5135.0,7249.0,6816.5,6816.5,6816.5,6816.5,7627.0,6734.5,6745.5,6756.0,6771.5,6810.0,6816.5,6875.5,6887.5,6899.0,6910.5,6922.5,6934.5,6947.0,6960.0,6973.0,6986.5,7000.5,7015.5,7031.0,7248.0,7325.5,6479.0,6769.5
Canada,"Tobacco, unmanufactured",31036.5,36387.0,36679.0,33548.5,29599.0,33842.5,36174.5,29022.0,34821.0,35542.5,26846.0,35424.0,31320.0,32063.0,26435.0,25160.5,24580.0,27648.5,25416.0,28143.0,25640.0,28044.5,26487.0,27245.5,26498.0,27609.5,27058.5,26528.0,23036.5,24213.5,23871.0,22483.0,21362.5,21437.5,21527.5,21583.5,20818.0,20533.5,20078.0,19714.5,19364.5,19009.5
Canada,Watermelons,,,,,,,,,,,,,,,,,,,,,,,,,92704.0,83347.5,75419.0,80302.5,73017.0,83061.0,112338.0,91679.5,126244.5,109724.0,152433.0,136703.5,142605.0,103969.0,128574.5,160619.0,216273.0,153756.5
Canada,Wheat,4328298.0,4795944.0,4476442.0,4748379.5,5636331.5,5067516.0,5297543.5,5269720.5,5612806.0,6223279.5,6271168.0,6849922.5,6588499.5,6873332.5,7125726.0,6738489.5,6478296.5,6867788.0,7060134.5,7091729.5,6925951.5,6198013.5,5397137.5,5572583.5,6143152.0,5718642.5,5351125.0,5203385.5,5439623.0,5312476.0,4364412.0,5118532.5,4707654.5,4715590.5,4853948.0,4319708.5,5022037.5,4844148.5,4162092.5,4291034.0,4762944.0,5238750.0
Central African Republic,"Tobacco, unmanufactured",4551.0,5034.0,5113.0,5063.0,6087.0,6513.5,5147.0,5464.5,5483.0,4766.5,5265.5,5854.0,5686.0,7262.5,6428.0,5050.5,6291.5,4141.0,4320.5,5077.0,5041.5,4466.5,4373.5,4451.0,3921.5,4255.5,4307.0,4175.0,4721.5,5300.0,5000.5,4616.0,4601.0,4612.0,4633.0,4651.5,4662.0,4668.5,4676.0,4682.5,4690.0,4696.5
